Date,Region,Solar Energy (MW),Wind Energy (MW),Hydro Energy (MW),Temperature (°C),Wind Speed (m/s),Rainfall (mm)
2020-03-29,South,120.0,291.0,273.0,18.139456175837744,7.104924778940193,31.245132771245128
2020-03-30,East,212.0,204.0,211.0,31.515464312670723,5.394819532859578,26.83071597693169
2020-03-31,East,148.0,210.0,290.0,13.621874702949635,8.108023806427484,37.32242343545501
2020-04-01,South,115.0,244.0,408.0,10.94257656556981,6.078881523610627,33.08564949613443
2020-04-02,North,195.0,107.0,247.0,20.853932927454125,4.646823053789305,0.8962218639915032
2020-04-03,West,106.0,130.0,425.0,22.239835059634395,7.93560641791551,31.62953552617448
2020-04-04,North,121.0,253.0,320.0,23.759044609856645,4.488830845144198,2.554649209842552
2020-04-05,West,107.0,220.0,374.0,12.062570685232696,6.414890017768391,7.563079249717069
2020-04-06,South,54.0,135.0,374.0,32.86687787899401,5.454906857790233,1.5324026809787727
2020-04-07,South,103.0,178.0,311.0,16.004354860582534,4.230096973128337,41.19298845309845
2020-04-08,North,67.0,113.0,368.0,23.397029701926137,9.354009414464308,22.63091185515531
2020-04-09,West,122.0,183.0,277.0,16.793319709656064,3.4049842242091533,36.495136786926544
2020-04-10,West,203.0,139.0,452.0,24.77949477277935,3.5279107126384153,49.03455855782023
2020-04-11,South,203.0,225.0,457.0,27.154024238318996,4.933041075150797,37.511448695682596
2020-04-12,West,60.0,143.0,449.0,22.60521051225011,8.428908170051503,10.558682595070195
2020-04-13,West,241.0,156.0,224.0,19.62764591711373,7.141976786296055,0.440166454466584
2020-04-14,West,194.0,156.0,447.0,20.889389626773063,5.737618964781147,18.891065300100546
2020-04-15,North,248.0,156.0,436.0,13.517963021213733,5.167087888364523,23.193556058750502
2020-04-16,North,247.0,220.0,258.0,12.533433824242149,5.782884743957461,39.600971523375385
2020-04-17,West,225.0,216.0,352.0,16.478430108817783,9.75412989085023,7.318987710283448
2020-04-18,South,200.0,150.0,440.0,23.142696781288723,5.784098614020726,8.515440768961763
2020-04-19,East,89.0,200.0,276.0,17.092129504094924,8.000931319231793,35.75392981812188
2020-04-20,North,106.0,252.0,460.0,34.94974291273901,4.876291053484362,31.052601862495166
2020-04-21,North,147.0,231.0,305.0,16.868010881878018,5.725362515316908,21.17504407012533
2020-04-22,South,147.0,209.0,281.0,16.38580336483789,3.325226477113667,0.7901103886714389
2020-04-23,West,203.0,243.0,341.0,19.00357678365458,8.356351027260544,19.47593699006799
2020-04-24,North,219.0,200.0,424.0,24.31015086504795,4.060408626132606,3.1549339822275755
2020-04-25,East,59.0,129.0,373.0,33.23546304892973,5.913179417655844,40.24574867490135
2020-04-26,South,63.0,203.0,451.0,29.27893650119954,8.195693021812815,21.709236479432185
2020-04-27,North,220.0,133.0,321.0,26.863168717602875,4.6411150574747815,32.76477567077736
2020-04-28,East,85.0,174.0,215.0,15.531358179314752,8.781621830755078,0.8326060179488892
2020-04-29,West,164.0,295.0,231.0,14.170191341670368,8.539364495328815,1.9728443024306763
2020-04-30,West,118.0,139.0,362.0,12.765196158258874,9.85112717944969,45.3559203265287
2020-05-01,West,239.0,140.0,386.0,28.089836696376757,7.8968055417558745,47.14948144072585
2020-05-02,South,239.0,286.0,336.0,23.158221726075027,6.2446877662322455,44.617043597661464
2020-05-03,West,116.0,177.0,234.0,14.925329379219734,8.51417155581348,41.3546416189049
2020-05-04,South,201.0,243.0,234.0,15.950540441914562,8.453382620638966,37.389357973163115
2020-05-05,South,207.0,230.0,400.0,28.083217958167175,4.959760659949787,37.61498118197888
2020-05-06,South,113.0,145.0,307.0,26.22834395532258,8.657492407287235,32.30588098678521
2020-05-07,East,135.0,126.0,322.0,26.539590683105317,4.786215109902857,35.372732128006405
2020-05-08,West,160.0,178.0,402.0,20.566970944353823,7.566807161333486,31.215865282160397
2020-05-09,East,57.0,214.0,486.0,19.019240293414548,4.37523867846228,7.915804150265021
2020-05-10,North,73.0,252.0,488.0,14.615056217694363,5.766983323096691,14.062004539091793
2020-05-11,East,233.0,251.0,203.0,32.18841663927344,9.4825259036372,46.59345085298731
2020-05-12,East,58.0,210.0,293.0,12.582285712772702,3.4035109078143044,42.44374867579415
2020-05-13,South,70.0,111.0,438.0,13.68963177449675,5.6214751044825295,6.1683937144228596
2020-05-14,West,172.0,181.0,401.0,24.02127063648343,9.986087927866617,42.32552418487725
2020-05-15,North,79.0,166.0,369.0,30.262909838781795,7.672462117744719,30.926471798993088
2020-05-16,East,240.0,299.0,434.0,20.340478762281343,9.160162499059613,43.91447200292228
2020-05-17,North,77.0,141.0,271.0,29.90034312489635,8.611245193364311,24.693108514625933
2020-05-18,South,218.0,268.0,280.0,28.98636642503475,9.666360391557031,16.37807227987426
2020-05-19,South,234.0,230.0,385.0,34.75097672890902,5.842520660462522,8.304592197757216
2020-05-20,East,80.0,295.0,470.0,23.79537206862009,9.516266902323625,45.84946248212152
2020-05-21,North,181.0,286.0,350.0,15.670409995119691,8.409058026681585,46.52122405654112
2020-05-22,South,204.0,294.0,206.0,26.48036291669736,9.466851353909362,21.774845142180084
2020-05-23,East,166.0,212.0,490.0,27.733406163907638,6.184728649810247,19.162728616471597
2020-05-24,North,218.0,265.0,355.0,30.32064355388034,7.903073681573123,11.740071711842177
2020-05-25,South,164.0,123.0,382.0,18.32820615113104,8.6297748384886,46.388705371860325
2020-05-26,South,150.0,129.0,378.0,21.540099765889842,7.959221735223048,5.980856650894734
2020-05-27,South,93.0,294.0,237.0,19.18738892499219,8.503907173639757,35.93753744753647
2020-05-28,South,229.0,272.0,322.0,22.59356168044051,4.705519073038162,32.903753757709914
2020-05-29,South,135.0,186.0,246.0,20.066680873291062,4.248140403254709,34.22130309490875
2020-05-30,West,198.0,269.0,497.0,24.68682581258583,6.4696068104191955,42.63058938916433
2020-05-31,South,115.0,186.0,408.0,18.346424540792626,9.650052735663504,4.36153839558438
2020-06-01,East,115.0,234.0,421.0,26.208152522030186,4.297406138215192,10.462975022859029
2020-06-02,South,77.0,138.0,432.0,29.82346514576405,3.584463506450332,9.199877494027486
2020-06-03,North,245.0,184.0,294.0,25.188906936846067,5.6711288357427625,6.619446217691538
2020-06-04,East,208.0,160.0,421.0,23.45018749386496,4.9324419606966625,10.109809289067373
2020-06-05,West,207.0,160.0,301.0,30.287551074030738,9.914405571214143,42.626251485371405
2020-06-06,South,207.0,210.0,244.0,27.60321144100872,8.508529382174949,9.646207597944596
2020-06-07,South,55.0,111.0,212.0,21.197701946484315,5.715031955468415,10.77687082300794
2020-06-08,North,100.0,102.0,330.0,19.8517602927645,9.346698658878077,31.37539210743699
2020-06-09,East,206.0,191.0,434.0,22.831754206403538,9.697705005738612,47.523498978497216
2020-06-10,West,67.0,222.0,321.0,11.813943702204163,4.08185434930323,22.89480393059698
2020-06-11,East,134.0,137.0,378.0,20.753901210203512,6.51956737626022,15.747074959409762
2020-06-12,West,230.0,204.0,378.0,12.923649357812947,6.754630043668643,34.28479750949895
2020-06-13,West,220.0,188.0,204.0,33.19271942842394,7.943787858969418,31.45756565486656
2020-06-14,East,215.0,289.0,407.0,30.893312855634953,7.212688357696457,48.90133730488092
2020-06-15,East,81.0,241.0,417.0,32.28137742267104,5.601979804782248,28.71885319752927
2020-06-16,East,238.0,180.0,272.0,31.183305788708164,9.711564670075592,27.620289149324744
2020-06-17,West,53.0,173.0,499.0,31.302018004662152,6.809073797067306,14.044607868547853
2020-06-18,West,214.0,141.0,210.0,28.922598550710788,8.370565858064067,18.544341044204682
2020-06-19,North,193.0,198.0,313.0,26.109001216491144,3.566693053417601,36.35158398556217
2020-06-20,West,96.0,172.0,470.0,31.710085754395926,5.28582705878074,4.935154619059939
2020-06-21,South,140.0,223.0,491.0,22.78584807445854,5.447895413978031,3.396726554774787
2020-06-22,East,241.0,298.0,338.0,28.785291437924027,9.982453354632955,12.908356376280977
2020-06-23,South,238.0,298.0,474.0,25.793053064859812,6.7735877281450865,13.056748248654893
2020-06-24,West,140.0,298.0,357.0,24.478325078007302,4.13388777455565,10.523731371188205
2020-06-25,East,70.0,263.0,467.0,18.45669721420303,4.9012447363641645,34.11290141630203
2020-06-26,East,185.0,100.0,260.0,20.76024214568905,7.2570259064699485,34.62780363721477
2020-06-27,South,93.0,269.0,321.0,21.86445104587852,4.827888664147276,11.12413117300094
2020-06-28,North,112.0,297.0,394.0,17.36496337986177,5.421805472010808,37.982970498483404
2020-06-29,East,171.0,225.0,270.0,21.904700455433645,4.848594061208242,11.230245650623965
2020-06-30,North,76.0,184.0,356.0,34.91415556407065,6.206575113495707,28.161204245111737
2020-07-01,South,200.0,188.0,272.0,30.42442473442046,6.468766920506116,39.67151057218367
2020-07-02,West,93.0,248.0,493.0,10.865545315436295,6.251114645471924,7.8817271343039845
2020-07-03,West,189.0,248.0,388.0,20.163762363348162,7.196053516733373,34.590256432356725
2020-07-04,North,161.0,151.0,496.0,30.14599138889419,7.061743322105406,36.381185494403695
2020-07-05,South,161.0,220.0,240.0,31.88063351112298,8.122429028682795,41.98640916280388
2020-07-06,North,60.0,220.0,337.0,12.323596806450873,9.727759334059584,19.971040278304468
2020-07-07,East,197.0,299.0,204.0,22.85936165753416,4.69676414870868,20.42109909407997
2020-07-08,East,58.0,246.0,373.0,28.52219863551465,3.7489736056040175,39.55192460081433
2020-07-09,East,196.0,154.0,303.0,10.4311562513916,9.278177726142083,45.8078923267813
2020-07-10,North,92.0,288.0,269.0,32.61714031148159,8.834997246341853,23.444965391621853
2020-07-11,North,144.0,228.0,200.0,26.42652027532697,4.647219051147456,43.71820473591242
2020-07-12,South,100.0,103.0,402.0,12.361007333912143,8.095095682028923,10.815880197763395
2020-07-13,North,231.0,160.0,292.0,21.94376311290963,5.940141665976475,9.921928977273275
2020-07-14,South,229.0,203.0,410.0,25.428884822620475,7.521122663653653,4.607630657458561
2020-07-15,North,134.0,207.0,483.0,14.460571907671355,3.2584479459090536,1.6084221338550864
2020-07-16,North,230.0,116.0,377.0,34.650845186917884,4.627656294141493,10.373264345360706
2020-07-17,South,97.0,293.0,324.0,29.459544237603122,6.893144669830661,30.922315459694293
2020-07-18,West,145.0,282.0,383.0,29.889823509370306,8.903219542857078,1.6254922418963091
2020-07-19,East,145.0,254.0,207.0,21.372821275567908,8.518718557228315,9.065907287094682
2020-07-20,East,123.0,265.0,492.0,22.430384604026315,5.236672360116116,41.481493815020016
2020-07-21,South,89.0,268.0,252.0,28.740232193172314,6.614802173301762,2.40785809944124
2020-07-22,West,190.0,293.0,251.0,28.8699494230431,9.684773347041528,40.78300342641605
2020-07-23,North,204.0,102.0,340.0,11.962707446811029,7.511754112803124,45.34637375756467
2020-07-24,East,232.0,118.0,255.0,24.676677203428287,9.246984658914585,40.57394195785598
2020-07-25,South,220.0,228.0,486.0,27.611543532359526,5.784028142113481,6.096919814895413
2020-07-26,East,218.0,228.0,416.0,11.340320273441197,8.037624935149408,33.28999491472058
2020-07-27,North,53.0,163.0,322.0,27.98109375588033,5.821658858895316,49.60211498410293
2020-07-28,North,85.0,248.0,255.0,33.44278006451065,4.190059980564146,47.0043327424499
2020-07-29,North,201.0,283.0,324.0,33.65777228849129,5.426203328150082,30.283167110227595
2020-07-30,South,201.0,231.0,466.0,26.86295769388019,5.684345143216687,1.2973657620716061
2020-07-31,South,169.0,103.0,309.0,16.006224594774526,6.582114981623637,23.50920322424005
2020-08-01,South,187.0,147.0,334.0,33.062113124101145,4.619544266132503,25.650616206131723
2020-08-02,East,85.0,255.0,202.0,12.470198758861013,5.085206765700349,32.12163039643192
2020-08-03,North,228.0,141.0,281.0,17.910154698162373,8.776411676485733,12.064939709455052
2020-08-04,East,76.0,266.0,319.0,14.877536087008489,3.028295165603379,33.99587702326624
2020-08-05,North,163.0,142.0,212.0,34.795244296962565,6.373339253238428,42.332341095314725
2020-08-06,South,200.0,167.0,349.0,13.523428473878576,3.0923506854305245,25.12921821393752
2020-08-07,North,140.0,283.0,499.0,31.862814200341678,7.80124780289457,19.28372395541098
2020-08-08,East,218.0,106.0,220.0,26.62404966646135,4.44810728395884,44.62928829595857
2020-08-09,West,193.0,166.0,442.0,18.006971092516665,8.191923184047102,40.11970690562547
2020-08-10,North,193.0,280.0,291.0,13.756749079426635,4.217603404556472,5.227101766212083
2020-08-11,East,201.0,289.0,291.0,27.586143207529915,8.583147563248684,37.93648985885478
2020-08-12,West,72.0,176.0,486.0,27.334337023760973,6.302928872734904,27.200187333076077
2020-08-13,West,201.0,200.0,421.0,18.441729031533757,4.371159882773199,48.96687956345421
2020-08-14,West,211.0,249.0,423.0,33.15077273498017,7.855823311810176,41.014013225826
2020-08-15,South,234.0,111.0,288.0,17.42139430564059,4.469064821112259,1.9363891940309075
2020-08-16,East,234.0,240.0,354.0,30.86496939647188,5.874538609162508,8.226358973074593
2020-08-17,South,186.0,166.0,354.0,28.429018752334063,7.880126429647676,4.420682822043631
2020-08-18,North,220.0,235.0,321.0,34.0568525394152,5.020557789936442,11.251529773565617
2020-08-19,South,189.0,158.0,237.0,16.30181896414113,9.429952691531927,46.241178602302526
2020-08-20,North,245.0,187.0,243.0,11.64795262235445,5.2004188492397585,46.22755504356843
2020-08-21,West,230.0,230.0,260.0,26.42698827747694,7.408098117980405,3.632053716253103
2020-08-22,North,115.0,198.0,304.0,18.308880379269596,9.17152114477965,37.620407629326536
2020-08-23,West,167.0,262.0,493.0,27.811163123443833,3.652769136114293,38.093587070344654
2020-08-24,East,237.0,136.0,200.0,24.356248379014453,3.6503329606068955,49.47392384167913
2020-08-25,North,103.0,179.0,436.0,23.599346017571484,4.939427565684603,46.41353605161721
2020-08-26,East,94.0,109.0,445.0,21.39828871744504,8.92888171041513,36.972133651346965
2020-08-27,West,137.0,201.0,445.0,12.74500742514687,6.289341356597413,20.708680228066022
2020-08-28,South,213.0,129.0,415.0,21.493283441365506,3.0875588067032815,43.778281892742385
2020-08-29,East,147.0,137.0,259.0,25.37273033769797,8.449521297513554,13.456081236949712
2020-08-30,South,82.0,201.0,339.0,23.543801386990857,6.736421117110177,26.539647693362443
2020-08-31,North,69.0,160.0,429.0,24.447182125363728,6.714522879376943,43.210340684984594
2020-09-01,South,205.0,228.0,210.0,29.602130923104372,7.516711784647165,45.80848586568061
2020-09-02,West,55.0,237.0,499.0,29.802974402807948,4.257247163512032,35.46049918820702
2020-09-03,North,58.0,135.0,380.0,21.999934618363426,4.239370541866689,11.93225850391093
2020-09-04,East,124.0,221.0,463.0,10.126683212436197,6.9550355991361705,30.249781671011856
2020-09-05,North,124.0,264.0,440.0,20.174863640252646,4.290460474490629,9.696773679775571
2020-09-06,North,54.0,197.0,463.0,10.501550729859357,6.8967112515050335,49.27547420877603
2020-09-07,East,156.0,147.0,388.0,22.398692711978605,5.077703857598975,41.085087926170914
2020-09-08,North,202.0,255.0,371.0,34.62037880109912,9.912895932222016,9.562917735096821
2020-09-09,North,188.0,182.0,371.0,33.26982743183652,9.515015919176566,48.50766064127318
2020-09-10,East,249.0,259.0,435.0,34.801026980502684,7.444884191713217,8.196971105007766
2020-09-11,North,75.0,212.0,354.0,11.607979193110232,5.184910415380589,48.905191475808905
2020-09-12,West,136.0,212.0,265.0,33.34742651633162,9.629367626935686,5.96698386577314
2020-09-13,East,114.0,249.0,480.0,30.55618738838562,9.052146474374112,11.06094458525283
2020-09-14,South,114.0,116.0,296.0,25.61906533620686,3.1903641804122564,7.538866386787596
2020-09-15,East,97.0,200.0,397.0,31.334921248846765,3.446170483004562,10.608603385860155
2020-09-16,East,178.0,116.0,317.0,13.809112184910912,7.018337735981023,19.17319333295815
2020-09-17,East,113.0,125.0,475.0,13.172316091492567,9.592664365372375,6.892542052446776
2020-09-18,West,72.0,273.0,231.0,26.235684681218228,8.152801588221019,18.541448144869822
2020-09-19,East,182.0,118.0,345.0,14.603260575850355,7.896611860931542,23.490158177362847
2020-09-20,South,221.0,118.0,481.0,27.991145632415233,5.756219118945127,28.43542799343292
2020-09-21,East,168.0,176.0,336.0,16.957804191482516,3.8755120770300553,47.501833358862164
2020-09-22,South,127.0,211.0,239.0,23.040471292520103,5.164585562901255,20.27247226042136
2020-09-23,West,186.0,214.0,490.0,28.06935692598931,4.475761559264733,3.599392818285346
2020-09-24,East,184.0,133.0,303.0,25.194380067740216,9.08947305327781,10.087416841970064
2020-09-25,South,239.0,229.0,381.0,19.48083355772139,8.64494171284878,17.57638612585381
2020-09-26,North,201.0,247.0,416.0,33.86859397535909,4.5898472468849345,8.890958618764866
2020-09-27,West,70.0,247.0,404.0,22.588223431389636,4.779786706876665,15.523985492978298
2020-09-28,East,249.0,128.0,396.0,31.056372509641985,6.614024064986168,27.92024500131599
2020-09-29,South,249.0,151.0,222.0,11.1884416500988,8.80218124506522,13.962779527317847
2020-09-30,South,223.0,240.0,280.0,24.480338661987098,3.976445770113078,9.697935190535928
2020-10-01,North,54.0,240.0,203.0,22.43950548200571,5.663799790554922,3.9711434210925933
2020-10-02,East,203.0,144.0,452.0,28.004837709978037,3.347970851605236,12.451059086247362
2020-10-03,South,203.0,173.0,345.0,30.613834811432667,3.5348774863860695,21.838918361349798
2020-10-04,East,200.0,187.0,392.0,23.08562596533387,7.126929763722191,33.246005519159354
2020-10-05,East,161.0,123.0,456.0,33.55672624523578,3.2200326669931827,34.473449947638386
2020-10-06,North,226.0,238.0,381.0,27.468429951621847,3.7072803586246854,39.31876810409506
2020-10-07,West,131.0,155.0,200.0,27.825834589370558,6.842275043263248,21.243169704800724
2020-10-08,South,206.0,195.0,444.0,11.720723717160382,5.365325192825913,39.24807341771698
2020-10-09,East,158.0,289.0,452.0,30.214872853055184,6.660623651591322,48.12419370272298
2020-10-10,East,229.0,178.0,218.0,11.885129799153006,4.676270780011935,41.302890465286694
2020-10-11,East,97.0,278.0,347.0,31.44663150268727,3.695131295765163,3.566237359167701
2020-10-12,East,248.0,253.0,266.0,25.163280034765805,9.560138358981936,2.031479492987226
2020-10-13,West,69.0,124.0,415.0,23.177236085887372,5.2730551652496045,41.94574586094895
2020-10-14,West,72.0,250.0,481.0,18.401288549031403,7.403388728541074,20.77048173865891
2020-10-15,East,66.0,250.0,481.0,19.4635652751235,7.337046273818332,10.231967629182936
2020-10-16,South,224.0,105.0,483.0,29.645282727479195,3.9205761309007956,34.407758088450926
2020-10-17,East,110.0,214.0,294.0,19.67170476847066,7.382810058123109,32.27371972715069
2020-10-18,North,184.0,163.0,262.0,31.290656630215256,3.1191109285200067,27.235928468730464
2020-10-19,West,143.0,204.0,212.0,32.650221315287126,6.611070180484715,12.911652119503902
2020-10-20,East,206.0,177.0,445.0,28.897730909969766,8.316470780743927,37.38277113639679
2020-10-21,North,70.0,178.0,435.0,25.70650082921006,7.942162324690887,12.617560887981405
2020-10-22,North,99.0,189.0,294.0,12.539056596217895,4.020502400213632,18.62477344196031
2020-10-23,North,223.0,156.0,376.0,17.598052355255465,6.789124202170992,39.16933771303006
2020-10-24,South,196.0,169.0,455.0,31.520769526716656,4.797152574345785,28.391714919032303
2020-10-25,East,183.0,197.0,361.0,24.46821137237893,3.7785299469905587,29.968065079388655
2020-10-26,East,221.0,242.0,210.0,28.516884722079936,8.995567673292125,6.104020817716865
2020-10-27,North,122.0,197.0,426.0,10.490015144245435,4.124315466511676,19.307061248719364
2020-10-28,South,139.0,299.0,234.0,14.21410072575164,7.222199816064267,29.86603543523485
2020-10-29,South,94.0,234.0,350.0,11.86046412932849,5.104116778310143,17.28647785311688
2020-10-30,North,209.0,194.0,209.0,33.400846980884666,8.457825104250954,0.07407892018218565
2020-10-31,South,54.0,234.0,240.0,10.07627043152473,7.1277495885055675,26.726281453182636
2020-11-01,East,214.0,217.0,425.0,15.563235168655641,4.017742962516634,24.761485796744655
